"(PDH-CSV 4.0) (RTZ 2 (","\\WIN-VJN76N11MDK\Процессор(_Total)\% загруженности процессора","\\WIN-VJN76N11MDK\Память\% использования выделенной памяти","\\WIN-VJN76N11MDK\Физический диск(_Total)\Средняя длина очереди диска"
"04/05/2026 08:03:42.391","100","77.373927942797067203","0.24816154243387722467"
"04/05/2026 08:03:48.161","100","77.47260168601586372","0.31343563089177522984"
"04/05/2026 08:03:53.916","100","77.552009857621044375","0.22519518491859302767"
"04/05/2026 08:03:59.357","100","77.579237562040631815","0.22934703233721198679"
"04/05/2026 08:04:04.665","100","77.57163086849536171","0.14690765871173641632"
"04/05/2026 08:04:10.209","100","77.732935402945841474","0.13795880873418531198"
"04/05/2026 08:04:15.649","100","77.770044695998080897","0.14542008609933887442"
"04/05/2026 08:04:20.986","100","77.803457267070996295","0.16363899389044370136"
"04/05/2026 08:04:26.243","100","77.201391099300565202","0.12584295501606096446"
"04/05/2026 08:04:31.656","100","77.156888385572671041","0.18115143891638421647"
"04/05/2026 08:04:37.171","100","77.293169027495466139","0.1923289106190220199"
"04/05/2026 08:04:42.498","100","76.99679238186143948","0.15255528982713434383"
"04/05/2026 08:04:47.816","100","76.966223418006265433","0.19727290637044603283"
"04/05/2026 08:04:53.211","100","77.092835767449074069","0.32877690345222487789"
"04/05/2026 08:04:58.648","100","77.26480389881524502","0.22549779529214508678"
"04/05/2026 08:05:04.099","100","77.291676140691080832","0.14457357994534286716"
"04/05/2026 08:05:09.432","100","77.228832053306703642","0.18204472005111196897"
"04/05/2026 08:05:15.228","100","77.400231449259507599","0.15175031562390048356"
"04/05/2026 08:05:20.580","100","77.486677602279613097","0.14790985226852434997"
"04/05/2026 08:05:25.891","100","76.969777950311495829","0.19084861579040596213"
"04/05/2026 08:05:31.179","100","77.049399418069370427","0.16668622063349708418"
"04/05/2026 08:05:36.450","100","77.09994483205953486","0.13469884733222309281"
"04/05/2026 08:05:41.975","100","77.388359321604568208","0.10624936777433598156"
"04/05/2026 08:05:47.604","100","77.418075193981195525","0.18979916152075490543"
"04/05/2026 08:05:52.845","100","77.435918938702883452","0.14281313645509455257"
"04/05/2026 08:05:58.235","100","77.575327567191649791","0.14486606834371590358"
